"Address","C.SH","jensiat","sen","savad","m.t.s","v.f.s","N.T.M","T.O","S.Z","M.O.B","OTO","MO","DO","ZABT","TV","PC","TEL.H","OJAGH.GAZ","JAROO.B","MASHIN.L","CHARKH.KH","PANKE","MASHIN.Z","H.KHORAKI.NOOSHIDANI","H.ERTEBATAT","H.BEHDASHT","H.HAMLONAGHL","H.KALA.MOT","H.MASKAN","H.MOBLEMAN","H.POOSHAK","KHARID.KALA.BADAVAM","H.SARMAYEGOZARI","M.DARAMAD.NAKH","HOOGHOOGH.MOSTAMAR","GH.MOSTAMAR","M.DARAMAD.KH","DARYAFTI.NAKH.F","DARAMAD.M.KH.1","DARAMAD.M.KH.2","DARAMAD.M.KH.3","DARAMAD.M.KH.4","M.INCOME","DAHAK","DAHAK10"
12321293520,23,1,29,1,2,1,4,3,60,1,0,1,0,0,1,0,1,1,1,1,0,0,0,29275000,3100000,20040000,1600000,5800000,13721000,270000,3500000,112200000,0,1.239e+09,3e+08,0,921320000,7.2e+08,0,1800000,0,1.2e+07,3194120000,10,1
12301265421,23,1,30,1,4,1,5,1,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17810000,5e+05,11800000,2250000,1650000,10800000,8e+05,0,887950000,0,0,9e+07,0,3.15e+08,0,0,0,397200000,16360000,818560000,4,0
12301265628,23,1,30,1,2,1,5,2,36,0,0,1,0,0,1,0,1,1,1,1,0,0,0,11980000,5e+05,3e+05,7e+06,410000,30500000,1290000,0,303300000,0,0,440400000,0,6.21e+08,9.48e+08,0,2964000,0,18960000,2031324000,8,0
12301266432,23,1,30,2,0,1,4,3,65,1,0,0,0,0,1,0,1,1,0,0,0,0,0,66932000,2206000,0,2e+05,580000,42500000,1600000,4420000,14450000,0,0,6.48e+08,0,9.45e+08,0,0,0,6.27e+08,1.4e+07,2.234e+09,9,0
12301267721,23,1,30,1,2,1,5,1,10,0,0,1,0,0,1,0,1,1,1,0,0,0,0,27974000,1050000,0,5e+05,1150000,15950000,2505000,2850000,340252000,0,0,0,7e+07,783720000,0,9.8e+07,0,0,58760000,1010480000,5,0
12301271319,23,2,30,1,6,1,3,3,60,0,0,0,0,0,1,1,1,1,1,0,0,0,0,7275865,1315000,16733333,350000,950000,52175000,6090000,0,57700000,0,3.8e+08,0,0,0,0,0,0,7.9e+08,32360000,1202360000,6,0
12301271529,23,1,30,1,6,3,3,4,80,0,0,0,0,0,1,1,1,1,1,0,0,0,0,11005000,2100000,1500000,1100000,9e+05,62680000,770000,3e+05,199226520,0,0,0,0,656400000,6.2e+08,0,3300000,0,47240000,1326940000,6,0
12301273122,23,1,30,1,1,1,4,4,50,0,0,0,0,0,1,0,1,1,1,1,0,0,0,2363000,1350000,5e+06,2e+06,9e+05,33100000,20638000,0,54840000,0,0,2.52e+09,0,2.4e+08,2.4e+09,0,0,0,0,5.16e+09,10,1
12301274132,23,1,30,1,5,1,4,4,60,0,1,0,0,0,1,1,1,1,1,1,0,0,1,7250000,450000,0,3e+06,2145000,51580000,270000,5e+05,170150000,0,4.3e+08,0,0,2.8e+08,5.5e+08,0,2e+06,0,50750000,1312750000,6,0
12301280232,23,1,30,1,4,1,6,3,50,1,1,1,0,0,1,1,1,1,1,1,0,0,0,12039000,3180000,250000,5e+06,1530000,35950000,1300000,0,52970000,0,3e+08,4.4e+08,0,0,0,0,0,0,1e+07,7.5e+08,4,0
12301281529,23,1,30,1,4,1,1,3,62,0,0,1,1,0,1,1,1,1,1,1,0,0,0,13065000,1540000,9580000,4500000,890000,31470000,0,450000,48700000,0,1e+09,6.96e+08,0,5e+08,5e+09,0,1720000,1369400000,0,8567120000,10,1
12301282521,23,1,30,1,1,1,4,3,70,0,0,0,0,0,1,0,1,1,1,0,0,0,0,7582000,1500000,0,1380000,1120000,24850000,650000,2550000,54257552,0,1.1e+08,629200008,0,0,0,0,0,380600000,1e+07,1129800008,5,0
12301282525,23,2,30,1,1,1,4,2,50,0,0,0,0,0,1,0,1,1,0,0,0,0,0,19550000,6e+05,0,1500000,720000,16320000,1705000,5500000,24443520,4e+07,845250000,0,0,2.16e+08,0,0,0,0,0,1061250000,5,0
12301283819,23,1,30,1,4,1,6,3,53,0,1,0,0,0,1,1,1,1,1,1,0,0,0,16880000,1e+06,8e+05,4e+05,1940000,46300000,860000,5e+05,19460000,0,6.16e+08,0,0,2.66e+08,0,0,3e+06,6.03e+08,1e+07,1.498e+09,7,0
12306287035,23,1,30,1,1,1,6,3,88,0,0,0,0,0,1,0,1,1,1,1,1,0,0,23160000,9e+05,0,5350000,2450000,24960000,0,2200000,176928900,0,894600000,0,0,3.6e+08,9.62e+08,0,0,0,96790000,2313390000,9,0
12313291032,23,1,30,1,4,1,1,3,50,1,0,0,0,0,1,0,1,1,1,1,1,0,0,18780350,2200000,1120000,2e+06,1050000,9610000,470000,250000,178505000,0,0,0,0,0,0,0,2940000,5e+08,1.2e+07,514940000,3,0
